chezmoi 2.72.1-1
fastfetch 2.68.1-1
fcitx5 5.1.21-1
fish 4.9.1-1
foot 1.28.0-1
ghostty 1.3.1-2
git 2.55.0-1
hyprland 0.56.2-2
kitty 0.48.2-1
matugen 4.2.0-1
neovim 0.12.5-1
quickshell 0.3.1-1
tmux 3.7_c-1
yazi 26.9.1-2
zsh 5.9.2-1

# Desktop dependency baseline
cliphist 1:0.7.0-2
fuzzel 1.15.0-1
hypridle 0.1.8-2
hyprlock 0.9.6-3
illogical-impulse-audio 1.0-2
illogical-impulse-backlight 1.0-1
illogical-impulse-basic 1.0-2
illogical-impulse-fonts-themes 1.0-5
illogical-impulse-gnome 1.0-2
illogical-impulse-gtk 1.0-1
illogical-impulse-hyprland 1.0-4
illogical-impulse-kde 1.0-2
illogical-impulse-microtex-git r494.0e3707f-2
illogical-impulse-oneui4-icons-git r71.693095d-1
illogical-impulse-portal 1.0-2
illogical-impulse-python 1.1-4
illogical-impulse-screencapture 1.0-1
illogical-impulse-toolkit 1.0-2
illogical-impulse-widgets 1.0-6
power-profiles-daemon 0.30-1
python-material-color-utilities 0.1.5-1
python-materialyoucolor-git 2.0.10.r2.gbe10bc4-1
python-pillow 12.3.0-1
qt6-5compat 6.11.2-1
qt6-avif-image-plugin 0.10.5-1
qt6-base 6.11.2-3
qt6-charts 6.11.2-1
qt6-connectivity 6.11.2-1
qt6-declarative 6.11.2-1
qt6-doc 6.11.2-1
qt6-graphs 6.11.2-1
qt6-imageformats 6.11.2-1
qt6-location 6.11.2-1
qt6-multimedia 6.11.2-1
qt6-multimedia-ffmpeg 6.11.2-1
qt6-multimedia-gstreamer 6.11.2-1
qt6-networkauth 6.11.2-1
qt6-positioning 6.11.2-1
qt6-quick3d 6.11.2-1
qt6-quicktimeline 6.11.2-1
qt6-scxml 6.11.2-1
qt6-sensors 6.11.2-1
qt6-shadertools 6.11.2-1
qt6-speech 6.11.2-1
qt6-svg 6.11.2-1
qt6-tools 6.11.2-1
qt6-translations 6.11.2-1
qt6-virtualkeyboard 6.11.2-1
qt6-wayland 6.11.2-1
qt6-webchannel 6.11.2-1
qt6-webengine 6.11.2-1
qt6-websockets 6.11.2-1
qt6-webview 6.11.2-1
ripgrep-all 0.10.10-2
upower 1.91.3-1
wtype 0.4-2
